lat,longi,address,typeOf,classOf
-23.522787,-46.490063,"JOSE SILVA ALCANTARA FILHO,R,1031",AMA ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.673297,-46.773393,"SANTANA,COM,AV,774",AMA ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.531575,-46.651898,"VITORINO CARMILO,R,599",AMA ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.538945,-46.454974,"AMERICO SALVADOR NOVELLI,R,265",AMA ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.599363,-46.539564,"ERVA IMPERIAL,R,501",AMA ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.743565,-46.704938,"ROQUE DO PARAGUASSU,R,190",AMA ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.630816,-46.766027,"AMADEU DA SILVA SAMELO,R,423",AMA ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.659403,-46.743017,"LUIS ANTONIO VERNEY,R,98",AMA ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.586723,-46.49195,"AUGUSTO FERREIRA RAMOS,R,9",AMA ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.408249,-46.757991,"MOGEIRO,R,207",AMA ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.497448,-46.654057,"JOSE RANGEL DE CAMARGO,R,500",AMA ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.570175,-46.575142,"FAROL PAULISTANO,R,410",AMA ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.672783,-46.664681,"HERMENEGILDO MARTINI,R,S/N",AMA ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.629079,-46.604422,"NOSSA SENHORA DAS MERCES,R,1315",AMA ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.49283,-46.600559,"ORLANDO RIBEIRO DANTAS,R,154",AMA ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.476568,-46.710942,"MONSENHOR MANOEL GOMES,R,654",AMA ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.628113,-46.645846,"CECI,AV,2235",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.523016,-46.651378,"ANHAGUERA,R,484",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.482098,-46.612505,"NOVA CANTAREIRA,AV,1476",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.652993,-46.645012,"FRANCISCO DE PAULA QUINTANILHA RIBEIRO, AV, 860",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.561088,-46.654078,"CARLOS COMENALLE,R,32",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.652993,-46.645012,"FRANCISCO DE PAULA Q RIBEIRO,AV,860",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.695249,-46.65946,"CORREGO AZUL,R,433",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.548579,-46.643979,"MARTINS FONTES,R,208",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.524112,-46.716684,"BRIG GAVI�?�O PEIXOTO, R.727",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.587114,-46.608202,"XAVIER DE ALMEIDA,R,210",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.49952,-46.693656,"BONIFACIO CUBAS,R,304",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.702945,-46.691259,"ARTHUR NASCIMENTO JR,R,120",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.55551,-46.603666,"MARINA CRESPI,R,91",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.722254,-46.704621,"CARLOS PEZZOLO,DR,S/N",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.671108,-46.681892,"SANTANA,R,275",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.557468,-46.412487,"MACABU,R,35",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.553169,-46.434612,"ANDREAS AMON,R,150",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.606818,-46.592704,"ALMIRANTE DELAMARE,AV,1534",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.530564,-46.598278,"JEQUITINHONHA,R,360",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.755005,-46.685595,"SAO CAETANO DO SUL,R,381",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.403315,-46.737938,"JULIO DE OLIVEIRA,R,80",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.484117,-46.727089,"MENOTTI LAUDISIO,AV,100",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.611267,-46.492813,"JOAO LOPES DE LIMA,R,1151",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.496403,-46.440472,"ANTONIO GAMA DE CERQUEIRA,PROF,R,647",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.494477,-46.473857,"JOSE GOES NOGUEIRA,R,70",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.581804,-46.582361,"CENTENARIO DE V PRUDENTE,PCA,108",AMBULATORIO DE ESPECIALIDADES,AMBULATORIOS ESPECIALIZADOS
-23.405738,-46.755767,"ANTONIO MAIA,R,827",AMBULATORIO DE SAUDE MENTAL,SAUDE MENTAL
-23.515417,-46.586877,"GUILHERME COTCHING,AV,1600",AMBULATORIO DE SAUDE MENTAL,SAUDE MENTAL
-23.596913,-46.623145,"JOAO BATISTUSSI,R,55",AMBULATORIOS ESPECIALIZADOS,AMBULATORIOS ESPECIALIZADOS
-23.491742,-46.388369,"MARECHAL TITO,AV,6035",APOIO DIAGNOSTICO,APOIO DIAGNOSTICO
